iter	Logloss
0	0.6615765756
1	0.6340090187
2	0.607242181
3	0.5851738681
4	0.5639127595
5	0.5464006011
6	0.5292173976
7	0.5137083542
8	0.5000705265
9	0.4883600519
10	0.4784973178
11	0.4703498169
12	0.461353093
13	0.4521503966
14	0.4449777693
15	0.4380455334
16	0.431622588
17	0.4243404555
18	0.4195870092
19	0.4158089094
20	0.411173649
21	0.407172857
22	0.4032081726
23	0.3986239494
24	0.3942922773
25	0.3909340939
26	0.3882193637
27	0.3852770773
28	0.3826401356
29	0.3793277878
30	0.3756922947
31	0.3722164996
32	0.3706397187
33	0.3685229438
34	0.3659414641
35	0.3634604711
36	0.3614324286
37	0.360015278
38	0.357770657
39	0.3554647643
40	0.3540155256
41	0.3525063663
42	0.3512978905
43	0.3495099691
44	0.3482200905
45	0.3461918116
46	0.344253616
47	0.3423081922
48	0.3407244532
49	0.3393531044
50	0.3376973189
51	0.3363065482
52	0.3349916746
53	0.3338750724
54	0.3330310511
55	0.3322235091
56	0.3306873957
57	0.3297653494
58	0.328070146
59	0.3268942313
60	0.3253041422
61	0.3239598826
62	0.3229213392
63	0.3220410413
64	0.3212582578
65	0.3201457089
66	0.319389339
67	0.3176737681
68	0.3166850797
69	0.3153421036
70	0.3140739437
71	0.3131427438
72	0.3119257899
73	0.3112598413
74	0.3100899051
75	0.3091511053
76	0.3082117314
77	0.3074294884
78	0.3067035179
79	0.3055646904
80	0.3047299578
81	0.3037559961
82	0.3032062406
83	0.3023507689
84	0.3014488537
85	0.3003913613
86	0.2997096388
87	0.2988140737
88	0.297930128
89	0.2970964424
90	0.2965294944
91	0.2955126359
92	0.2949695007
93	0.2945740388
94	0.2939989843
95	0.2933486069
96	0.2920846353
97	0.2911695809
98	0.2901255318
99	0.2895410535
100	0.2890950611
101	0.2890762135
102	0.2884810616
103	0.2872747475
104	0.2866465617
105	0.2856644597
106	0.2851304105
107	0.2846240586
108	0.2842279887
109	0.2838050323
110	0.2833155688
111	0.282126194
112	0.2814758503
113	0.2805615896
114	0.2800186571
115	0.2789678188
116	0.2781470024
117	0.2772651508
118	0.276024705
119	0.2754782089
120	0.2750804502
121	0.2745056321
122	0.2736422735
123	0.2728581389
124	0.2721922578
125	0.2715204489
126	0.2709214802
127	0.2699559966
128	0.2687697292
129	0.2684689951
130	0.2679236982
131	0.26752192
132	0.2670080019
133	0.2663440124
134	0.2657090373
135	0.2651493851
136	0.2639613444
137	0.2634108796
138	0.2628529163
139	0.2622830465
140	0.261646788
141	0.2610563142
142	0.260556819
143	0.2597100448
144	0.2589230223
145	0.2583383413
146	0.2577085004
147	0.2571350165
148	0.2565669538
149	0.2559460132
150	0.2552574001
151	0.2548130122
152	0.2540830729
153	0.2537678654
154	0.2532958984
155	0.2527762045
156	0.2524143339
157	0.251765409
158	0.2510138186
159	0.2510126364
160	0.2506527418
161	0.250083632
162	0.24968638
163	0.24914745
164	0.2486010553
165	0.2485794886
166	0.2479387039
167	0.2475885878
168	0.2472416973
169	0.2465365504
170	0.2458197504
171	0.2452114424
172	0.2448939887
173	0.2442156439
174	0.2437365331
175	0.2429848076
176	0.2425391868
177	0.2419336991
178	0.2415110298
179	0.2410688036
180	0.2406696094
181	0.2403044624
182	0.2399117365
183	0.2394186251
184	0.2389252266
185	0.2382400589
186	0.2376939344
187	0.2371521165
188	0.2366115315
189	0.2362124048
190	0.235775718
191	0.2348811155
192	0.2343950974
193	0.2338999594
194	0.2334731355
195	0.2325869435
196	0.2321198574
197	0.2316073073
198	0.231125089
199	0.2306000077
200	0.2301067612
201	0.2297621676
202	0.2293265617
203	0.2288440225
204	0.2283243117
205	0.2278342403
206	0.2273343735
207	0.2269772824
208	0.2264551565
209	0.2260162742
210	0.2255645566
211	0.2251816936
212	0.2247874139
213	0.2239625949
214	0.2234757998
215	0.2229375116
216	0.2225105695
217	0.2221059203
218	0.2217300491
219	0.2211754973
220	0.2206741949
221	0.2203281658
222	0.2198337878
223	0.2195310271
224	0.2191820424
225	0.2188026922
226	0.2185462905
227	0.2182248004
228	0.2178920119
229	0.2175087942
230	0.2172440158
231	0.2167908965
232	0.216370372
233	0.2159365563
234	0.2156730614
235	0.2153991632
236	0.2148702819
237	0.2145390978
238	0.2140663371
239	0.213748478
240	0.2135552901
241	0.2133237483
242	0.2127975692
243	0.212306552
244	0.2119288062
245	0.2111714062
246	0.2103745377
247	0.2099277009
248	0.2095464254
249	0.2091042498
250	0.2086811921
251	0.20811394
252	0.2078557819
253	0.2076103916
254	0.2071032796
255	0.2064357097
256	0.2062003342
257	0.205952495
258	0.2054504496
259	0.2051012285
260	0.2047019667
261	0.2043578966
262	0.2040816171
263	0.2036061374
264	0.2032358563
265	0.202868497
266	0.2026914545
267	0.2022046425
268	0.2017803688
269	0.2014843804
270	0.2012164269
271	0.2008359452
272	0.2005977156
273	0.2000027663
274	0.199566924
275	0.1992160478
276	0.1990088424
277	0.1986266718
278	0.1980850566
279	0.1977099623
280	0.1973735089
281	0.1970861843
282	0.1965447718
283	0.1960185082
284	0.1954719953
285	0.19520796
286	0.1949283703
287	0.1946250185
288	0.1942467154
289	0.1939697097
290	0.1935316718
291	0.1931152682
292	0.1928353407
293	0.1925305534
294	0.1921841527
295	0.1919377321
296	0.1917100578
297	0.1912479369
298	0.1907824214
299	0.1903987139
300	0.1901430553
301	0.1895781677
302	0.1893622309
303	0.1888113101
304	0.188467848
305	0.1882594942
306	0.1879796005
307	0.1876851321
308	0.1874694655
309	0.1870147418
310	0.1866449674
311	0.1861693188
312	0.1858283731
313	0.1855110038
314	0.1852474075
315	0.1847218364
316	0.1843808738
317	0.1841468832
318	0.1837215624
319	0.1835135464
320	0.1831192329
321	0.1828362993
322	0.1825659815
323	0.1822701113
324	0.1819879546
325	0.1816504203
326	0.1814150111
327	0.1809341101
328	0.1805561786
329	0.1802163475
330	0.1799576827
331	0.1796513585
332	0.1793033028
333	0.178993432
334	0.1786194185
335	0.1784255551
336	0.1781537004
337	0.1779227835
338	0.1774277299
339	0.1772724736
340	0.1770402057
341	0.1768253497
342	0.1766664455
343	0.176350934
344	0.1761108804
345	0.1757264636
346	0.1754023051
347	0.1752448702
348	0.1749227046
349	0.1745618811
350	0.1742165275
351	0.1740155202
352	0.1736545109
353	0.1732877257
354	0.1730125102
355	0.1727026394
356	0.1724539727
357	0.1721836548
358	0.1719297526
359	0.1714460819
360	0.1712411058
361	0.1709417228
362	0.1706986462
363	0.1703981485
364	0.1700502278
365	0.169647639
366	0.1693298137
367	0.1689627415
368	0.1687914749
369	0.1683940708
370	0.1680174565
371	0.1678217015
372	0.1675541703
373	0.1672780766
374	0.1668034413
375	0.1666130399
376	0.1662735298
377	0.1659841448
378	0.1657782567
379	0.165590946
380	0.1653281942
381	0.1649633174
382	0.1647051593
383	0.1644541788
384	0.1640709443
385	0.1637444214
386	0.1634857228
387	0.1632729104
388	0.1629230307
389	0.1626227695
390	0.1624672092
391	0.1621984789
392	0.161921203
393	0.1616346046
394	0.1613678502
395	0.1611782764
396	0.1607646087
397	0.1603491677
398	0.1600553917
399	0.1596968819
400	0.1593973131
401	0.159198248
402	0.1589043369
403	0.1586816109
404	0.1583281339
405	0.1581528816
406	0.1579501854
407	0.1577679413
408	0.1574157478
409	0.1571719281
410	0.1569328371
411	0.1566575878
412	0.1564605831
413	0.1560997089
414	0.1557338358
415	0.1555404452
416	0.155387148
417	0.1551123209
418	0.1548303669
419	0.1545198036
420	0.1543459531
421	0.1541314012
422	0.1538874463
423	0.1536085997
424	0.1533532282
425	0.1530873521
426	0.1528852301
427	0.1527226442
428	0.1524518873
429	0.1522908213
430	0.152057692
431	0.1518475311
432	0.1515645469
433	0.1514222441
434	0.1512507917
435	0.1509921945
436	0.1508048669
437	0.1505951114
438	0.1502473934
439	0.1500105992
440	0.1496691807
441	0.1493547838
442	0.1490890258
443	0.1488983374
444	0.148621433
445	0.1483551515
446	0.1481727891
447	0.1479449628
448	0.147739193
449	0.1475682135
450	0.147274505
451	0.1469594156
452	0.1467762426
453	0.1466450525
454	0.1465196045
455	0.1462422779
456	0.1460109557
457	0.1457342202
458	0.1455185874
459	0.1453647666
460	0.1451781652
461	0.1449260701
462	0.1447313622
463	0.1444844857
464	0.1442934932
465	0.1440589453
466	0.1439095662
467	0.1437598663
468	0.1435597203
469	0.1433161201
470	0.1432009065
471	0.142860839
472	0.1425850493
473	0.1422878618
474	0.1420874962
475	0.141765415
476	0.1415593918
477	0.1414059511
478	0.1412434918
479	0.1409641133
480	0.1407238064
481	0.1405186276
482	0.1402252484
483	0.1400719006
484	0.1398539541
485	0.1396443167
486	0.1394438329
487	0.1392259202
488	0.139045272
489	0.1388725277
490	0.1385454306
491	0.1384060833
492	0.138277038
493	0.1380619963
494	0.1378284195
495	0.1376353244
496	0.1374458773
497	0.137114195
498	0.1368820621
499	0.1367230904
500	0.1365810662
501	0.1364075788
502	0.1362256217
503	0.1359654877
504	0.1358201027
505	0.1356494695
506	0.1355125879
507	0.1352556035
508	0.1350112012
509	0.1347876054
510	0.1346203414
511	0.1344959489
512	0.1342470119
513	0.1340113409
514	0.1337946357
515	0.1336478575
516	0.1333844808
517	0.1331512333
518	0.1329446021
519	0.132709024
520	0.1324764182
521	0.1322044622
522	0.1319214864
523	0.1315980794
524	0.1314037346
525	0.131257539
526	0.1310794748
527	0.130742785
528	0.1305619764
529	0.130316814
530	0.1300788377
531	0.1298676382
532	0.1296745938
533	0.1295262111
534	0.1293899882
535	0.1292630118
536	0.1290286074
537	0.1287327879
538	0.12852907
539	0.128403757
540	0.1281951921
541	0.1280346413
542	0.1278738878
543	0.1277005608
544	0.1274376908
545	0.1273045331
546	0.1271347612
547	0.1269754601
548	0.1268333937
549	0.1266661128
550	0.1265283109
551	0.1263711293
552	0.1261873736
553	0.1259868307
554	0.1257872758
555	0.1256881401
556	0.1255105741
557	0.1253445852
558	0.1252319049
559	0.1249553467
560	0.1248791541
561	0.1247302901
562	0.1245044229
563	0.1242610423
564	0.1240490658
565	0.123884048
566	0.1236847126
567	0.123483604
568	0.1233131734
569	0.1232044788
570	0.1230794192
571	0.1229497913
572	0.1227970092
573	0.1226110833
574	0.1225096001
575	0.1222626138
576	0.1221483629
577	0.121925772
578	0.1217570724
579	0.1216401616
580	0.1214237181
581	0.1212756902
582	0.1211337674
583	0.1210272598
584	0.1208200544
585	0.1206905363
586	0.1205065611
587	0.1203510599
588	0.1201280299
589	0.1198693398
590	0.119678187
591	0.1194363179
592	0.1191687106
593	0.1189971485
594	0.1188927942
595	0.1186813751
596	0.1184834078
597	0.1183510692
598	0.1182196342
599	0.1181244927
600	0.1180166847
601	0.1179033542
602	0.1177296726
603	0.1175402761
604	0.1174271483
605	0.117201129
606	0.1170619253
607	0.1168958604
608	0.1166943886
609	0.1165136138
610	0.1163126571
611	0.1161650429
612	0.1159650742
613	0.1158271287
614	0.1157087739
615	0.1154898816
616	0.1152607211
617	0.1151521616
618	0.1150253119
619	0.1149560773
620	0.1148472729
621	0.114734466
622	0.1145418438
623	0.1143457849
624	0.1142443692
625	0.114125322
626	0.1140226228
627	0.1139301327
628	0.113798968
629	0.1136184464
630	0.1135255511
631	0.1134073904
632	0.1133238091
633	0.1131270661
634	0.1130380045
635	0.1128560981
636	0.1127133055
637	0.1125595523
638	0.1124212944
639	0.112226882
640	0.1120498733
641	0.1119449618
642	0.1117880335
643	0.1116502822
644	0.1114716775
645	0.1113397443
646	0.1111596957
647	0.1110071669
648	0.1108499938
649	0.1106923393
650	0.1105546133
651	0.1104659992
652	0.1103828232
653	0.1102947748
654	0.110162622
655	0.1100339145
656	0.1099196467
657	0.1097467082
658	0.1095352046
659	0.1093660069
660	0.1092504893
661	0.1091749553
662	0.1090260491
663	0.1089577519
664	0.1087598183
665	0.1086427301
666	0.1084517208
667	0.1082968361
668	0.10812041
669	0.107947235
670	0.1078671496
671	0.1077382141
672	0.1075872222
673	0.1074635643
674	0.1073852776
675	0.1072468845
676	0.1070613893
677	0.1068454694
678	0.1067308723
679	0.1065882993
680	0.1064513248
681	0.1062863407
682	0.1061789719
683	0.1059830734
684	0.1058823248
685	0.1057190549
686	0.1056300017
687	0.1055062172
688	0.1053342582
689	0.105174442
690	0.1050457598
691	0.1048765874
692	0.1047597019
693	0.1045196398
694	0.1044313466
695	0.1042334214
696	0.1041349444
697	0.104026748
698	0.1039446613
699	0.1038241109
700	0.1036908773
701	0.1035591467
702	0.1032965301
703	0.1031952664
704	0.103081024
705	0.1029420398
706	0.102772462
707	0.1026628217
708	0.1025439855
709	0.1024238574
710	0.1022083681
711	0.1021359248
712	0.1020060013
713	0.1018310952
714	0.1016549478
715	0.1014826341
716	0.1013762448
717	0.1012447507
718	0.1011048968
719	0.1010564013
720	0.1009192665
721	0.1006845665
722	0.1005753062
723	0.1004197966
724	0.1002838692
725	0.1002335245
726	0.1000573602
727	0.09988100171
728	0.09971838203
729	0.09958645726
730	0.09947209656
731	0.09928470985
732	0.09909128549
733	0.09897170624
734	0.09884248363
735	0.09870486742
736	0.09863004278
737	0.09854635166
738	0.09844214941
739	0.09829516007
740	0.09818744501
741	0.09803028877
742	0.09790205415
743	0.09783382447
744	0.09775053023
745	0.09760616706
746	0.0975076478
747	0.09736764187
748	0.09721143139
749	0.09706886684
750	0.0968935301
751	0.09677966761
752	0.09665785063
753	0.09647018526
754	0.09642885902
755	0.09633071131
756	0.09622709172
757	0.09612346368
758	0.09604565822
759	0.09594775539
760	0.09586067812
761	0.09579778522
762	0.09572215838
763	0.0954997364
764	0.09533711672
765	0.0952520323
766	0.09514555855
767	0.09505647154
768	0.09494683963
769	0.09488114324
770	0.09473720228
771	0.09464048165
772	0.09449331498
773	0.094344679
774	0.094265742
775	0.09413553986
776	0.09401822367
777	0.09392271902
778	0.09380988674
779	0.0937199553
780	0.09364317159
781	0.09356115243
782	0.09347336584
783	0.09339030804
784	0.09324993055
785	0.09314905535
786	0.09299415373
787	0.09292408321
788	0.09284147295
789	0.09274544476
790	0.09267078056
791	0.09250568671
792	0.09236962425
793	0.09224094207
794	0.09210954085
795	0.09197137576
796	0.09187450314
797	0.09176579166
798	0.09157649654
799	0.09145808259
800	0.0912153015
801	0.0910848798
802	0.09094216326
803	0.09085708728
804	0.09074392567
805	0.09066004877
806	0.09054871957
807	0.09032640737
808	0.09023558084
809	0.09014841068
810	0.09000978116
811	0.0899363836
812	0.08982501217
813	0.08971670601
814	0.08961373663
815	0.08944956321
816	0.0893758701
817	0.08929787041
818	0.08920005203
819	0.08907003566
820	0.08896275971
821	0.08880287597
822	0.08865947544
823	0.08853733757
824	0.08844546396
825	0.08831760088
826	0.08819382482
827	0.08813727357
828	0.08802092003
829	0.0879533659
830	0.08780858051
831	0.0877292213
832	0.08756037819
833	0.08741886918
834	0.08734249079
835	0.08722957406
836	0.08717104685
837	0.08704396065
838	0.0869697271
839	0.08686131961
840	0.0867741579
841	0.0866990377
842	0.08658750584
843	0.08646034363
844	0.08629874571
845	0.08617569586
846	0.08610307517
847	0.08594597804
848	0.08580994936
849	0.08569639931
850	0.08554687669
851	0.08543065825
852	0.0853085795
853	0.08520117687
854	0.08513311609
855	0.08506679482
856	0.08499005333
857	0.08492552225
858	0.08486127827
859	0.08476378077
860	0.0846465068
861	0.08453825975
862	0.08441118199
863	0.08421316395
864	0.08412609512
865	0.08405301
866	0.0839384213
867	0.08387113739
868	0.08371375316
869	0.08356717758
870	0.08345866876
871	0.08338871646
872	0.08327055584
873	0.08318455099
874	0.08309088719
875	0.08296150414
876	0.08286763768
877	0.08281565478
878	0.08273858396
879	0.08266864855
880	0.08246256623
881	0.08237847823
882	0.08228565885
883	0.08216174769
884	0.08209968233
885	0.08201789117
886	0.08193855729
887	0.08184713122
888	0.08177913799
889	0.08164347241
890	0.08153972615
891	0.08144428905
892	0.08139107329
893	0.0813103461
894	0.0812187427
895	0.08113351473
896	0.08108272246
897	0.0809842201
898	0.08085800365
899	0.08078602473
900	0.08064134067
901	0.08054418094
902	0.08046510883
903	0.08032822728
904	0.08025923762
905	0.08019466432
906	0.08010349158
907	0.07994077057
908	0.07985200444
909	0.07976499472
910	0.07970907679
911	0.07964745053
912	0.07956513583
913	0.07943735719
914	0.07934741731
915	0.07924132355
916	0.07918066839
917	0.07913179297
918	0.07905438438
919	0.07899281724
920	0.07891844014
921	0.07883563567
922	0.07872449224
923	0.0786771199
924	0.07853197985
925	0.07839269168
926	0.07831712395
927	0.07822196551
928	0.07818969152
929	0.07807443573
930	0.07791645196
931	0.07786334597
932	0.07781468166
933	0.07774470403
934	0.07765163977
935	0.07759632138
936	0.07752131941
937	0.07744552367
938	0.0773610219
939	0.07729290201
940	0.07721251259
941	0.07713895459
